CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat
Arlington,51013102701,3579,74.9,20.3,32.0,24.9,20.1,20.5,17.4,39.0,12.4,12.6
Arlington,51013102702,1912,74.4,21.1,19.8,9.3,6.0,9.5,8.6,34.5,5.6,5.4
Arlington,51013102802,1317,78.4,20.8,19.8,5.8,3.9,5.8,5.8,30.1,3.8,3.6
Arlington,51013102803,2748,76.5,20.4,22.8,10.8,7.1,10.6,9.4,35.1,6.3,6.0
Arlington,51013102804,5339,75.6,20.0,23.5,13.2,9.4,12.0,10.9,35.6,7.4,7.1
Arlington,51013102901,2904,76.8,23.6,17.1,4.8,3.3,5.6,4.4,30.7,3.7,3.7
Arlington,51013102903,1625,76.5,24.5,18.5,5.6,3.9,6.3,4.9,32.0,4.1,4.0
Arlington,51013102904,3125,74.9,23.2,20.8,9.1,6.3,9.5,7.6,35.3,6.0,5.8
Arlington,51013103000,3390,77.8,22.7,17.4,4.2,2.9,4.9,4.3,29.7,3.3,3.1
Arlington,51013103100,6207,76.4,20.2,21.4,10.4,7.3,10.4,8.2,35.4,6.4,6.3
Arlington,51013103200,5520,75.6,21.0,19.0,7.2,4.8,7.4,6.4,33.2,4.9,4.5
Arlington,51013103300,2492,74.9,20.8,20.3,9.6,6.6,9.5,7.0,36.4,6.1,5.7
Arlington,51013103401,923,62.9,22.6,22.5,9.6,5.5,10.0,10.5,42.5,7.3,5.3
Arlington,51013103403,1328,75.2,21.3,16.9,6.3,4.1,7.3,5.4,33.4,4.5,4.5
Arlington,51013103404,1438,76.6,21.2,18.7,5.5,3.5,5.8,4.8,32.5,4.1,3.6
Arlington,51013103405,3874,75.6,20.4,16.9,5.4,3.2,5.7,4.7,33.7,4.0,3.5
Arlington,51013103501,3535,74.5,20.8,18.0,6.2,3.8,6.1,5.5,34.3,4.6,3.8
Arlington,51013103503,5102,73.5,22.0,17.4,6.8,4.4,7.0,5.3,35.0,5.0,4.4
Arlington,51013103504,2571,73.1,21.5,15.0,5.6,3.4,6.4,4.8,34.0,4.2,3.9
Arlington,51013103505,3813,75.8,22.0,25.0,11.4,8.9,9.6,8.2,35.6,6.9,6.1
Arlington,51013103601,2612,77.0,21.5,17.7,4.5,2.8,4.9,4.5,30.6,3.5,3.1
Arlington,51013103602,1241,71.6,21.9,18.2,8.0,5.1,7.3,6.1,36.8,5.7,4.6
Arlington,51013103700,2626,80.4,20.2,20.4,4.5,2.9,4.6,4.3,28.7,3.3,3.0
Arlington,51013103800,4964,73.8,23.9,20.4,9.5,7.2,9.5,6.8,36.1,6.5,6.2
Augusta,51015070100,3973,77.2,23.7,38.6,19.0,16.7,14.9,12.7,35.2,10.1,9.9
Augusta,51015070200,3788,79.2,25.3,34.0,11.1,8.6,9.0,9.0,33.5,6.3,5.4
Augusta,51015070300,6450,80.0,25.6,33.5,11.4,9.7,9.3,8.1,31.8,6.6,6.2
Augusta,51015070400,5436,78.9,26.6,37.2,14.0,11.9,10.9,9.7,34.4,7.7,6.9
Augusta,51015070500,5189,80.5,24.6,33.9,10.1,8.1,8.4,7.4,32.3,5.8,5.4
Augusta,51015070601,2724,83.2,23.5,33.6,8.4,6.9,6.9,6.0,29.7,5.2,4.8
Augusta,51015070602,3646,78.8,26.9,39.7,17.7,16.1,12.9,10.9,35.8,10.0,8.7
Augusta,51015070603,4328,80.7,24.7,31.6,10.2,8.5,8.7,6.8,31.5,6.1,5.8
