CountyName,LocationID,TotalPopulation,Checkups,Depression,Disability,Food_Insecurity,Food_Stamps,Housing_Insecure,Insurance_Gap,Loneliness,Transport_Barriers,Utility_Threat,Low_Checkups,Healthcare_Desert_Score,Score_EqualWeights,Risk_Tier
Arlington,51013101705,4175,74.7,21.9,18.2,6.2,4.0,6.3,5.3,33.5,4.5,4.0,25.299999999999997,12.18,11.14,LOW
Arlington,51013101801,3399,72.5,23.0,14.1,3.7,2.2,4.5,3.9,33.1,3.3,2.8,27.5,11.39,10.12,LOW
Arlington,51013101803,4722,72.9,23.5,19.2,7.3,4.9,7.2,6.4,34.8,5.2,4.4,27.099999999999994,13.34,12.16,LOW
Arlington,51013101804,2215,72.8,23.7,23.9,13.0,10.0,11.2,10.2,36.4,7.7,6.9,27.200000000000003,16.39,15.32,MODERATE
Arlington,51013101805,3760,72.2,23.5,15.5,4.4,2.6,5.0,4.3,33.7,3.8,3.1,27.799999999999997,11.85,10.59,LOW
Arlington,51013101900,3183,76.8,22.2,17.8,4.2,2.6,4.5,4.0,31.3,3.5,2.9,23.200000000000003,10.5,9.52,LOW
Arlington,51013102001,2802,74.5,21.8,24.2,11.1,7.9,9.6,9.9,35.3,6.9,5.8,25.5,15.16,14.0,LOW
Arlington,51013102002,1243,72.7,22.5,19.7,8.1,5.3,7.7,7.4,35.7,5.5,4.5,27.299999999999997,13.95,12.69,LOW
Arlington,51013102003,4820,75.8,21.2,27.2,13.8,10.4,12.0,12.3,35.1,7.9,7.3,24.200000000000003,16.45,15.38,MODERATE
Arlington,51013102100,2325,81.6,18.6,27.6,8.7,6.2,6.8,7.6,31.2,5.0,4.3,18.400000000000006,11.75,11.02,LOW
Arlington,51013102200,7880,75.3,20.2,30.9,22.3,17.1,18.3,18.1,37.6,11.2,10.8,24.700000000000003,21.06,20.01,HIGH
Arlington,51013102301,1734,77.7,21.9,24.3,10.1,7.5,9.3,7.8,33.2,6.1,5.9,22.299999999999997,13.52,12.78,LOW
Arlington,51013102302,4668,75.4,21.4,22.6,10.8,7.4,10.2,10.0,34.7,6.4,5.8,24.599999999999994,14.91,13.74,LOW
Arlington,51013102400,3617,74.9,22.0,21.4,8.9,6.1,8.5,8.0,34.3,5.6,5.0,25.099999999999994,13.81,12.69,LOW
Arlington,51013102500,5291,75.2,21.2,19.2,7.7,5.1,8.0,6.9,33.7,5.1,4.8,24.799999999999997,13.07,12.01,LOW
Arlington,51013102600,3688,75.8,20.2,22.2,10.6,7.2,9.9,9.2,34.1,6.3,5.8,24.200000000000003,14.48,13.41,LOW
Arlington,51013102701,3579,74.9,20.3,32.0,24.9,20.1,20.5,17.4,39.0,12.4,12.6,25.099999999999994,22.09,21.5,CRITICAL
Arlington,51013102702,1912,74.4,21.1,19.8,9.3,6.0,9.5,8.6,34.5,5.6,5.4,25.599999999999994,14.27,13.06,LOW
Arlington,51013102802,1317,78.4,20.8,19.8,5.8,3.9,5.8,5.8,30.1,3.8,3.6,21.599999999999994,11.03,10.05,LOW
Arlington,51013102803,2748,76.5,20.4,22.8,10.8,7.1,10.6,9.4,35.1,6.3,6.0,23.5,14.61,13.6,LOW
Arlington,51013102804,5339,75.6,20.0,23.5,13.2,9.4,12.0,10.9,35.6,7.4,7.1,24.400000000000006,16.0,15.0,MODERATE
Arlington,51013102901,2904,76.8,23.6,17.1,4.8,3.3,5.6,4.4,30.7,3.7,3.7,23.200000000000003,10.85,9.93,LOW
Arlington,51013102903,1625,76.5,24.5,18.5,5.6,3.9,6.3,4.9,32.0,4.1,4.0,23.5,11.44,10.54,LOW
Arlington,51013102904,3125,74.9,23.2,20.8,9.1,6.3,9.5,7.6,35.3,6.0,5.8,25.099999999999994,14.04,13.09,LOW
Arlington,51013103000,3390,77.8,22.7,17.4,4.2,2.9,4.9,4.3,29.7,3.3,3.1,22.200000000000003,10.27,9.32,LOW
Arlington,51013103100,6207,76.4,20.2,21.4,10.4,7.3,10.4,8.2,35.4,6.4,6.3,23.599999999999994,14.31,13.5,LOW
Arlington,51013103200,5520,75.6,21.0,19.0,7.2,4.8,7.4,6.4,33.2,4.9,4.5,24.400000000000006,12.63,11.6,LOW
Arlington,51013103300,2492,74.9,20.8,20.3,9.6,6.6,9.5,7.0,36.4,6.1,5.7,25.099999999999994,14.09,13.25,LOW
Arlington,51013103401,923,62.9,22.6,22.5,9.6,5.5,10.0,10.5,42.5,7.3,5.3,37.1,18.06,15.98,MODERATE
Arlington,51013103403,1328,75.2,21.3,16.9,6.3,4.1,7.3,5.4,33.4,4.5,4.5,24.799999999999997,12.26,11.29,LOW
Arlington,51013103404,1438,76.6,21.2,18.7,5.5,3.5,5.8,4.8,32.5,4.1,3.6,23.400000000000006,11.33,10.4,LOW
Arlington,51013103405,3874,75.6,20.4,16.9,5.4,3.2,5.7,4.7,33.7,4.0,3.5,24.400000000000006,11.57,10.58,LOW
Arlington,51013103501,3535,74.5,20.8,18.0,6.2,3.8,6.1,5.5,34.3,4.6,3.8,25.5,12.31,11.22,LOW
Arlington,51013103503,5102,73.5,22.0,17.4,6.8,4.4,7.0,5.3,35.0,5.0,4.4,26.5,12.83,11.8,LOW
Arlington,51013103504,2571,73.1,21.5,15.0,5.6,3.4,6.4,4.8,34.0,4.2,3.9,26.900000000000006,12.29,11.15,LOW
Arlington,51013103505,3813,75.8,22.0,25.0,11.4,8.9,9.6,8.2,35.6,6.9,6.1,24.200000000000003,14.61,13.86,LOW
Arlington,51013103601,2612,77.0,21.5,17.7,4.5,2.8,4.9,4.5,30.6,3.5,3.1,23.0,10.62,9.61,LOW
Arlington,51013103602,1241,71.6,21.9,18.2,8.0,5.1,7.3,6.1,36.8,5.7,4.6,28.400000000000006,13.9,12.75,LOW
